Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (@), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228641,417,MinixFs,MINIX Filesystem,filesystem,,,,,,,,,,,,
2228642,418,Ext,ext filesystem,filesystem,,,,,,,,,,,,
2228643,419,Ext2,ext2 filesystem,filesystem,@based_on(f418),,,,,,,,,,,
2228644,420,Ext3,ext3 filesystem,filesystem,@based_on(f419),,,,,,,,,,,
2228645,421,Ext4,ext4 filesystem,filesystem,@based_on(f420),,,,,,,,,,,
2228646,422,Xiafs,Xiafs,filesystem,,,,,,,,,,,,
2228647,423,Xfs,XFS filesystem,filesystem,,,,,,,,,,,,
2228648,424,Btrfs,Btrfs,filesystem,,,,,,,,,,,,
2228649,425,F2fs,F2FS (Flash-Friendly File System),filesystem,,,,,,,,,,,,
2228650,426,Zfs,ZFS (FKA Zettabyte File System),filesystem,,,,,,,,,,,,
2228651,427,Tmpfs,Temporary filesystem,virtualfilesystem,,,,,,,,,,,,
2228652,428,Ramfs,RAM disk filesystem,virtualfilesystem,,,,,,,,,,,,
2228653,429,Overlayfs,Overlay filesystem,virtualfilesystem,,,,,,,,,,,,
2228654,430,Fat8bit,FAT (File Allocation Table),filesystem,,,,,,,,,,,,
2228655,431,Fat12,FAT12,filesystem,@based_on(f430),,,,,,,,,,,
2228656,432,Fat16,FAT16,filesystem,@based_on(f430),,,,,,,,,,,
2228657,433,Fat16b,FAT16B,filesystem,@based_on(f432),,,,,,,,,,,
2228658,434,Fat32,FAT32,filesystem,@based_on(f434),,,,,,,,,,,
2228659,435,Exfat,ExFAT,filesystem,@based_on(f434),,,,,,,,,,,
2228660,436,Fatx,FATX,filesystem,,,,,,,,,,,,
2228661,437,Fatx16,FATX16,filesystem,@based_on(f432 & f436),,,,,,,,,,,
2228662,438,Fatx32,FATX32,filesystem,@based_on(f434 & f436),,,,,,,,,,,
2228663,439,FatPlus,FAT+,filesystem,,,,,,,,,,,,
2228664,440,Fat16Pus,FAT16+,filesystem,@based_on(f432 & f439),,,,,,,,,,,
2228665,441,Fat32Plus,FAT32+,filesystem,@based_on(f434 & f439),,,,,,,,,,,
2228666,442,Umsdos,UMSDOS,filesystem,,,,,,,,,,,,
2228667,443,Uvfat,UVFAT,filesystem,,,,,,,,,,,,
2228668,444,Vfat,VFAT,filesystem,,,,,,,,,,,,
2228669,445,Smb,SMB (Server Message Block),virtualfilesystem,,,,,,,,,,,,
2228670,446,Cifs,CIFS (Common Internet File System),virtualfilesystem,@based_on(f445),,,,,,,,,,,
2228671,447,Smb2,SMB2,virtualfilesystem,@based_on(f445),,,,,,,,,,,
2228672,448,Nfs,NFS (Network File System),virtualfilesystem,,,,,,,,,,,,
2228673,449,Iso9660,ISO 9660,filesystem,,,,,,,,,,,,
2228674,450,Udf,UDF (Universal Disk Format),filesystem,,,,,,,,,,,,
2228675,451,Joliet,Joliet,filesystem,@based_on(f449),,,,,,,,,,,
2228676,452,Mfs,MFS (Macintosh File System),filesystem,,,,,,,,,,,,
2228677,453,Hfs,HFS (Hierarchical File System),filesystem,,,,,,,,,,,,
2228678,454,HfsPlus,HFS+,filesystem,@based_on(f453),,,,,,,,,,,
2228679,455,Apfs,APFS,filesystem,,,,,,,,,,,,
2228680,456,Ntfs,NTFS,filesystem,,,,,,,,,,,,
2228681,457,Refs,ReFS,filesystem,,,,,,,,,,,,
2228682,458,ReiserFs,ReiserFS,filesystem,,,,,,,,,,,,
2228683,459,Reiser4,Reiser4,filesystem,@based_on(f458),,,,,,,,,,,
2228684,460,Bcachefs,Bcachefs,filesystem,,,,,,,,,,,,
