Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114124,12,Decimal point,0,ON,,Sm,Mathematics,"dot, point, >32",,
1114141,29,Plus,0,ES,,Sm,Mathematics,,,
1114146,34,Zero,0,EN,,Nd,Mathematics,,,
1114147,35,One,0,EN,,Nd,Mathematics,,,
1114148,36,Two,0,EN,,Nd,Mathematics,,,
1114149,37,Three,0,EN,,Nd,Mathematics,,,
1114150,38,Four,0,EN,,Nd,Mathematics,,,
1114151,39,Five,0,EN,,Nd,Mathematics,,,
1114152,40,Six,0,EN,,Nd,Mathematics,,,
1114153,41,Seven,0,EN,,Nd,Mathematics,,,
1114154,42,Eight,0,EN,,Nd,Mathematics,,,
1114155,43,Nine,0,EN,,Nd,Mathematics,,,
1114158,46,Less than,0,ON,,Sm,Mathematics,,,
1114159,47,Equals,0,ON,,Sm,Mathematics,,,
1114160,48,Greater than,0,ON,,Sm,Mathematics,,,
1114349,237,Minus,0,ES,,Sm,Mathematics,,,
