Dc,Short,Ident (Rust-friendly),Label,Category,"MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228258,34,Brotli,Brotli compression (RFC 9841),compression,,.br,,,"brotli, br",,,,,,,
2228259,35,Gzip,GNU gzip compression (RFC 1952),compression,,.gz,,,"gzip, gz",,,,,,,
2228260,36,Deflate,"Deflate compression (RFC 1591), raw",compression,,.deflate,,,"deflate, raw-deflate",,,,,,,
2228261,37,Zlib,Zlib compression (RFC 1950) (wrapped Deflate),compression,,".zz, .zl",,,"zlib, zz, zl, zlib-deflate",,,,,,,
2228262,38,Bzip2,Bzip2 compression,compression,,.bz2,,,"bzip2, bz2",,,,,,,
2228263,39,Bzip,Original bzip compression,compression,,.bz,,,bz,,,,,,,
2228264,40,Zstd,Zstandard compression,compression,,".zst, .zstd",,,"zstd, zst",,,,,,,
2228265,41,Lzip,Lzip compression,compression,,.lz,,,"lz, lzip",,,,,,,
2228266,42,Xz,XZ compression,compression,,.xz,,,"xz, xzip",,,,,,,
2228267,43,ScoCompress,compress`: SCO `compress -H` format,compression,,.Z,,,"sco, sco-compress, compress-sco, compress-h",,,,,,,
2228268,44,CompressLzw,"`compress` format, modern LZW block format",compression,,.Z,,,"compress, compress4, compress3, compress-4.0, compress-3.0",,,,,,,
2228269,45,CompressLzw1,`compress` 1.0 (LZW headerless format),compression,,.Z,,,"compress1, compress-1.0",,,,,,,
2228270,46,CompressLzw16,`compress` 1.6 (LZW sorted chain format),compression,,.Z,,,"compress16, compress1.6, compress-1.6, lzw-sorted-chain",,,,,,,
2228271,47,CompressLzw2,`compress` 2.0 (LZW non-block format),compression,,.Z,,,"compress2, compress-2.0",,,,,,,
2228272,48,Pack,"`pack` format, common version (Huffman)",compression,,.z,,,pack,,,,,,,
2228273,49,OldPack,"`pack` format, early PDP-11 Unix binary tree",compression,,.z,,,"oldpack, old-pack, early-pack",,,,,,,
2228274,50,Compact,`compact` (McMaster Adaptive Huffman),compression,,.C,,,compact,,,,,,,
2228524,300,Rzip,rzip,compression,,,,,,,,,,,,
2228525,301,Lrzip,lrzip (Long Range Zip),compression,,,,,,,,,,,,
2228526,302,Bzip3,Bzip3,compression,,,,,,,,,,,,
2228527,303,Lz4,LZ4,compression,,.lz4,,,lz4,,,,,,,
2228528,304,Lzo,LZO (Lempel-Ziv-Oberhumer),compression,,.lzo,,,lzo,,,,,,,
2228530,306,Orz,orz (optimized reduced offset Lempel-Ziv),compression,,,,,,,,,,,,
2228531,307,Lzfse,LZFSE (Lempel–Ziv Finite State Entropy),compression,,,,,,,,,,,,
2228544,320,Lzma,LZMA (Lempel–Ziv–Markov chain algorithm),compression,,.lzma,,,lzma,,,,,,,
2228545,321,Lzma2,LZMA container format,compression,,".lzma, .lzma2",,,lzma2,Lzma,,,,,,
