Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (=), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228423,199,Integer,Integer number,number,AbstractNumber,,,,,,,,,,,
2228424,200,Natural0,"Natural number, including 0",number,AbstractNumber & Integer,,,,,,,,,,,
2228425,201,Positive,Positive number,number,AbstractNumber,,,,,,,,,,,
2228426,202,Negative,Negative number,number,AbstractNumber,,,,,,,,,,,
2228427,203,U8,8-bit unsigned integer,number,,,,,,,,,,,,
2228428,204,I8,8-bit signed integer,number,,,,,,,,,,,,
2228429,205,U16,16-bit unsigned integer,number,,,,,,,,,,,,
2228430,206,I16,16-bit signed integer,number,,,,,,,,,,,,
2228431,207,U32,32-bit unsigned integer,number,,,,,,,,,,,,
2228432,208,I32,32-bit signed integer,number,,,,,,,,,,,,
2228433,209,U64,64-bit unsigned integer,number,,,,,,,,,,,,
2228434,210,I64,64-bit signed integer,number,,,,,,,,,,,,
2228435,211,U128,128-bit unsigned integer,number,,,,,,,,,,,,
2228436,212,I128,128-bit signed integer,number,,,,,,,,,,,,
2228437,213,Float,Floating-point number,number,,,,,,,,,,,,
2228438,214,Fixed,Fixed-point number,number,,,,,,,,,,,,
2228439,215,Pack32,Pack32 (encoded 32-bit value),number,,,,,,,,,,,,
2228569,345,Rational,Rational number,number_abstract,AbstractNumber,,,,,,,,,,,
2228570,346,Real,Real number,number_abstract,AbstractNumber,,,,,,,,,,,
2228571,347,Complex,Complex number,number_abstract,AbstractNumber,,,,,,,,,,,
2228572,348,FloatIeee754,IEEE 754 floating-point number formats,number,Float,,,,,,,,,,,
2228573,349,NumeralSystem,Format for representing numbers,number,,,,,,,,,,,,
2228580,356,BaseNNumber,"Representation of a number in a given base, agnostic to alphabet",number_abstract,:~ [format:f354],,,,,,,,,,,
2228574,350,BaseNNumeral,Representation of a number in a given base,number,:~ [format:f354] [format:base_alphabet],,,,,,,,,,,
2228575,351,Natural1,"Natural number, not including zero",number_abstract,AbstractNumber & Integer,,,,,,,,,,,
2228578,354,Base,A radix in a number system,number,:~ [number:f351],,,,,,,,,,,
2228579,355,AbstractNumber,"Any number, but not in a specific representation",number_abstract,,,,,,,,,,,,
2228581,357,DcNumber,"A number represented using Dcs, a sequence of Dcs between Dcs 6 and 7",number,,,,,,,,,,,,
2228582,358,DcNumberB64Int,A DcNumber representing an integer expressed in base 64,number,DcNumber,,,,,,,,,,"A DcNumber representing an integer expressed in base 64 using the encapsulation Dcs, not byte-oriented, with optional sign flag (Dc 10 or 11) at start
",
2228583,359,BaseAlphabet,A set of characters used in a positional number system,base_alphabet,,,,,,,,,,,,
2228584,360,AlphabetBase64Rfc4648,Standard Base 64 alphabet from RFC 4648. Case-sensitive.,base_alphabet,,,,,,,,,,,,
2228585,361,AlphabetBase36,Base alphabet with 36 characters; standard Arabic digits + Latin letters: 0-9 (A-Z|a-z),base_alphabet,,,,,,,,,,,,
2228586,362,AlphabetBase36Uppercase,Base alphabet with 36 characters: 0-9 A-Z,base_alphabet,AlphabetBase36,,,,,,,,,,,
2228587,363,AlphabetBase36Lowercase,Base alphabet with 36 characters: 0-9 a-z,base_alphabet,AlphabetBase36,,,,,,,,,,,
,,UnaryNumeral,A number with radix 1,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'1']",,,,,,,,,,,
,,BinaryNumeral,A number with radix 2,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'2']",,,,,,,,,,,
,,OctalNumeral,A number with radix 8,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'8']",,,,,,,,,,,
,,DecimalNumeral,A number with radix 10,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'10']",,,,,,,,,,,
,,HexadecimalNumeral,A number with radix 16,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'16']",,,,,,,,,,,
,,AlphabetArabicIndicNumeral,Arabic-Indic numerals (٠-٩),base_alphabet,,,,,,,,,,,,
,,AlphabetDevanagariNumeral,Devanagari numerals (०-९),base_alphabet,,,,,,,,,,,,
,,RomanNumeral,Roman numeral system,numeral_system,,,,,,,,,,,,
,,TallyNumeral,Additive tally marks,numeral_system,,,,,,,,,,,,
,,ChineseNumeral,Chinese numeral systems,numeral_system,,,,,,,,,,,,
,,ChineseNumeralSmall,Chinese numerals. Varies depending on simplified versus traditional characters,numeral_system,ChineseNumeral,,,,,,,,,,,
,,ChineseNumeralBig,Chinese numerals for finance. Varies depending on simplified versus traditional characters,numeral_system,ChineseNumeral,,,,,,,,,,,
,,SuzhouNumeral,Suzhou numeral system,numeral_system,,,,,,,,,,,,
